 Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Year
 1880 ,-29  ,-20  ,-18  ,-27  ,-14  ,-28  ,-23  ,-7   ,-16  ,-16  ,-18  ,-21  ,-20  ,***  ,**** ,-19  ,-19  ,-17  ,1880 
 1881 ,-9   ,-13  ,2    ,-3   ,-4   ,-28  ,-6   ,-2   ,-8   ,-19  ,-26  ,-15  ,-11  ,-11  ,-14  ,-2   ,-12  ,-18  ,1881 
 1882 ,10   ,9    ,2    ,-19  ,-17  ,-24  ,-10  ,4    ,0    ,-22  ,-20  ,-24  ,-9   ,-9   ,1    ,-11  ,-10  ,-14  ,1882 
 1883 ,-33  ,-41  ,-17  ,-23  ,-25  ,-11  ,-8   ,-12  ,-18  ,-11  ,-19  ,-17  ,-20  ,-20  ,-33  ,-22  ,-10  ,-16  ,1883 
 1884 ,-17  ,-11  ,-33  ,-35  ,-31  ,-37  ,-33  ,-25  ,-22  ,-21  ,-29  ,-28  ,-27  ,-26  ,-15  ,-33  ,-32  ,-24  ,1884 
 1885 ,-63  ,-28  ,-23  ,-43  ,-41  ,-50  ,-27  ,-26  ,-18  ,-18  ,-21  ,-5   ,-30  ,-32  ,-40  ,-35  ,-35  ,-19  ,1885 
 1886 ,-41  ,-44  ,-40  ,-29  ,-26  ,-38  ,-15  ,-30  ,-18  ,-24  ,-25  ,-24  ,-30  ,-28  ,-30  ,-32  ,-28  ,-23  ,1886 
 1887 ,-65  ,-47  ,-30  ,-37  ,-33  ,-20  ,-18  ,-27  ,-19  ,-31  ,-25  ,-37  ,-32  ,-31  ,-46  ,-33  ,-21  ,-25  ,1887 
 1888 ,-42  ,-41  ,-47  ,-28  ,-22  ,-20  ,-8   ,-10  ,-7   ,2    ,0    ,-11  ,-20  ,-22  ,-40  ,-32  ,-13  ,-2   ,1888 
 1889 ,-19  ,15   ,5    ,5    ,-2   ,-11  ,-4   ,-17  ,-18  ,-21  ,-30  ,-29  ,-11  ,-9   ,-5   ,3    ,-11  ,-23  ,1889 
 1890 ,-46  ,-46  ,-40  ,-37  ,-47  ,-27  ,-28  ,-36  ,-35  ,-22  ,-37  ,-29  ,-36  ,-36  ,-41  ,-41  ,-30  ,-31  ,1890 
 1891 ,-45  ,-47  ,-14  ,-25  ,-16  ,-21  ,-21  ,-20  ,-13  ,-23  ,-36  ,-1   ,-24  ,-26  ,-41  ,-18  ,-21  ,-24  ,1891 
 1892 ,-25  ,-13  ,-35  ,-34  ,-24  ,-19  ,-27  ,-19  ,-24  ,-15  ,-49  ,-28  ,-26  ,-24  ,-13  ,-31  ,-22  ,-29  ,1892 
 1893 ,-67  ,-50  ,-23  ,-31  ,-34  ,-23  ,-13  ,-23  ,-18  ,-15  ,-16  ,-36  ,-29  ,-28  ,-48  ,-30  ,-20  ,-16  ,1893 
