 Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Year
 1880 ,-53  ,-43  ,-29  ,-46  ,-10  ,-26  ,-28  ,-28  ,-32  ,-25  ,-38  ,-40  ,-33  ,***  ,**** ,-28  ,-27  ,-32  ,1880 
 1881 ,-5   ,-24  ,-1   ,-7   ,-12  ,-42  ,-4   ,-3   ,-21  ,-34  ,-41  ,-29  ,-19  ,-20  ,-23  ,-7   ,-16  ,-32  ,1881 
 1882 ,18   ,19   ,-3   ,-40  ,-31  ,-31  ,-17  ,1    ,-3   ,-48  ,-35  ,-36  ,-17  ,-17  ,2    ,-25  ,-15  ,-29  ,1882 
 1883 ,-56  ,-65  ,-17  ,-29  ,-29  ,-23  ,-14  ,-26  ,-30  ,-12  ,-33  ,-25  ,-30  ,-31  ,-52  ,-25  ,-21  ,-25  ,1883 
 1884 ,-21  ,-13  ,-64  ,-58  ,-40  ,-48  ,-43  ,-48  ,-43  ,-35  ,-43  ,-36  ,-41  ,-40  ,-20  ,-54  ,-46  ,-40  ,1884 
 1885 ,-107 ,-34  ,-17  ,-54  ,-54  ,-54  ,-32  ,-42  ,-30  ,-26  ,-25  ,3    ,-39  ,-43  ,-59  ,-42  ,-43  ,-27  ,1885 
 1886 ,-63  ,-64  ,-55  ,-35  ,-34  ,-41  ,-14  ,-45  ,-29  ,-24  ,-33  ,-12  ,-37  ,-36  ,-41  ,-41  ,-33  ,-29  ,1886 
 1887 ,-99  ,-53  ,-31  ,-40  ,-31  ,-13  ,-11  ,-42  ,-12  ,-37  ,-19  ,-43  ,-36  ,-33  ,-54  ,-34  ,-22  ,-23  ,1887 
 1888 ,-57  ,-57  ,-62  ,-29  ,-13  ,-3   ,7    ,-8   ,-7   ,6    ,-2   ,-32  ,-22  ,-22  ,-53  ,-35  ,-2   ,-1   ,1888 
 1889 ,-38  ,29   ,3    ,12   ,-7   ,-12  ,2    ,-12  ,-20  ,-33  ,-53  ,-50  ,-15  ,-13  ,-14  ,3    ,-7   ,-35  ,1889 
 1890 ,-64  ,-56  ,-41  ,-33  ,-47  ,-15  ,-28  ,-40  ,-40  ,-11  ,-51  ,-39  ,-39  ,-40  ,-57  ,-40  ,-28  ,-34  ,1890 
