 Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Year
 1880 ,-5   ,3    ,-6   ,-8   ,-17  ,-31  ,-18  ,14   ,0    ,-6   ,2    ,-1   ,-6   ,***  ,**** ,-11  ,-11  ,-2   ,1880 
 1881 ,-12  ,-3   ,4    ,2    ,4    ,-14  ,-7   ,0    ,4    ,-4   ,-10  ,-1   ,-3   ,-3   ,-5   ,3    ,-7   ,-4   ,1881 
 1882 ,2    ,-1   ,7    ,1    ,-3   ,-18  ,-2   ,6    ,2    ,4    ,-6   ,-12  ,-2   ,-1   ,0    ,2    ,-5   ,0    ,1882 
 1883 ,-9   ,-17  ,-17  ,-18  ,-20  ,1    ,-1   ,1    ,-6   ,-9   ,-6   ,-10  ,-9   ,-10  ,-13  ,-18  ,0    ,-7   ,1883 
 1884 ,-14  ,-8   ,-3   ,-12  ,-23  ,-27  ,-23  ,-2   ,-2   ,-8   ,-16  ,-20  ,-13  ,-12  ,-11  ,-12  ,-17  ,-9   ,1884 
 1885 ,-20  ,-23  ,-28  ,-32  ,-27  ,-45  ,-23  ,-11  ,-7   ,-10  ,-17  ,-13  ,-21  ,-22  ,-21  ,-29  ,-26  ,-12  ,1885 
 1886 ,-19  ,-25  ,-26  ,-22  ,-19  ,-35  ,-17  ,-16  ,-8   ,-24  ,-17  ,-37  ,-22  ,-20  ,-19  ,-22  ,-23  ,-17  ,1886 
 1887 ,-31  ,-42  ,-29  ,-33  ,-34  ,-26  ,-25  ,-11  ,-26  ,-25  ,-32  ,-31  ,-29  ,-29  ,-37  ,-32  ,-21  ,-28  ,1887 
 1888 ,-27  ,-26  ,-32  ,-26  ,-31  ,-37  ,-23  ,-12  ,-7   ,-2   ,3    ,9    ,-18  ,-21  ,-28  ,-30  ,-24  ,-2   ,1888 
 1889 ,0    ,1    ,7    ,-2   ,2    ,-10  ,-10  ,-22  ,-16  ,-10  ,-7   ,-8   ,-6   ,-5   ,4    ,2    ,-14  ,-11  ,1889 
 1890 ,-29  ,-37  ,-40  ,-41  ,-48  ,-39  ,-29  ,-31  ,-31  ,-33  ,-22  ,-20  ,-33  ,-32  ,-24  ,-43  ,-33  ,-29  ,1890 
 1891 ,-29  ,-27  ,-20  ,-23  ,-17  ,-31  ,-28  ,-31  ,-30  ,-23  ,-20  ,-11  ,-24  ,-25  ,-25  ,-20  ,-30  ,-24  ,1891 
