date,global,north,south
201301,67.0,78.0,55.0
201302,56.0,66.0,45.0
201303,64.0,81.0,48.0
201304,53.0,67.0,39.0
201305,61.0,76.0,47.0
201306,65.0,73.0,58.0
201307,59.0,69.0,49.0
201308,65.0,68.0,63.0
201309,77.0,68.0,86.0
201310,69.0,82.0,56.0
201311,80.0,105.0,55.0
201312,66.0,77.0,55.0
201401,73.0,95.0,51.0
201402,50.0,66.0,35.0
201403,77.0,117.0,36.0
201404,78.0,105.0,51.0
201405,86.0,90.0,82.0
201406,66.0,82.0,49.0
201407,58.0,74.0,42.0
201408,81.0,90.0,72.0
201409,90.0,86.0,94.0
201410,85.0,96.0,75.0
201411,69.0,84.0,53.0
201412,79.0,109.0,48.0
201501,81.0,114.0,49.0
201502,87.0,115.0,59.0
201503,90.0,123.0,57.0
201504,73.0,101.0,45.0
201505,78.0,99.0,57.0
201506,78.0,104.0,52.0
201507,73.0,88.0,58.0
201508,78.0,99.0,57.0
201509,82.0,112.0,52.0
201510,106.0,123.0,89.0
201511,102.0,132.0,71.0
201512,110.0,144.0,76.0
